2017-10-13 00:09:54.2328 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-13 00:10:34.7161 | ERROR | safemooneyBackend.WebApiApplication | Application start error
2017-10-13 00:15:07.1547 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-13 00:15:14.3921 | ERROR | safemooneyBackend.WebApiApplication | Application start error
2017-10-13 00:15:25.0817 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-13 00:15:33.0892 | ERROR | safemooneyBackend.WebApiApplication | Application start error
2017-10-13 00:30:09.6553 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-13 00:35:42.9464 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-13 00:44:12.9065 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-13 00:52:21.5495 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-13 01:00:08.2082 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-13 01:03:46.1696 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-13 01:27:22.1606 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-13 01:31:03.2303 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-13 01:31:45.8187 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-13 01:41:28.2010 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-13 22:42:52.4042 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-13 22:51:05.5894 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-13 22:55:14.0996 | INFO | safemooneyBackend.Controllers.AccountController | User <username: SergeyIS> is authorized
2017-10-13 23:04:03.5909 | INFO | safemooneyBackend.Controllers.AccountController | User <username: SergeyIS> is authorized
2017-10-13 23:04:54.7338 | INFO | safemooneyBackend.Controllers.TransactionsController | user 7 request userlist|response count: 0
2017-10-13 23:05:01.4632 | INFO | safemooneyBackend.Controllers.TransactionsController | user 7 request userlist|response count: 0
2017-10-13 23:05:31.3089 | INFO | safemooneyBackend.Controllers.TransactionsController | user 7 request userlist|response count: 0
2017-10-13 23:05:56.0424 | INFO | safemooneyBackend.Controllers.TransactionsController | user 7 request userlist|response count: 0
2017-10-13 23:06:32.0524 | INFO | safemooneyBackend.Controllers.TransactionsController | user 7 request userlist|response count: 0
2017-10-13 23:06:40.3729 | INFO | safemooneyBackend.Controllers.TransactionsController | user 7 request userlist|response count: 0
2017-10-13 23:06:47.9533 | INFO | safemooneyBackend.Controllers.TransactionsController | user 7 request userlist|response count: 0
2017-10-13 23:06:50.1234 | INFO | safemooneyBackend.Controllers.TransactionsController | user 7 request userlist|response count: 1
2017-10-13 23:07:02.3841 | INFO | safemooneyBackend.Controllers.TransactionsController | user 7 request userlist|response count: 0
2017-10-13 23:07:04.0192 | INFO | safemooneyBackend.Controllers.TransactionsController | user 7 request userlist|response count: 0
2017-10-13 23:07:09.7146 | INFO | safemooneyBackend.Controllers.TransactionsController | user 7 request userlist|response count: 0
2017-10-13 23:07:18.6851 | INFO | safemooneyBackend.Controllers.TransactionsController | user 7 request userlist|response count: 0
2017-10-13 23:09:46.0305 | INFO | safemooneyBackend.Controllers.TransactionsController | user 7 request userlist|response count: 0
2017-10-13 23:09:55.2960 | INFO | safemooneyBackend.Controllers.TransactionsController | user 7 request userlist|response count: 0
2017-10-13 23:09:56.3801 | INFO | safemooneyBackend.Controllers.TransactionsController | user 7 request userlist|response count: 1
2017-10-13 23:09:59.7663 | INFO | safemooneyBackend.Controllers.TransactionsController | user 7 request userlist|response count: 1
2017-10-13 23:10:02.6665 | INFO | safemooneyBackend.Controllers.TransactionsController | user 7 request userlist|response count: 0
2017-10-13 23:11:20.7709 | INFO | safemooneyBackend.Controllers.AccountController | User <username: SergeyIS> is authorized
2017-10-13 23:11:25.8852 | INFO | safemooneyBackend.Controllers.TransactionsController | user 7 request userlist|response count: 0
2017-10-13 23:11:27.3333 | INFO | safemooneyBackend.Controllers.TransactionsController | user 7 request userlist|response count: 0
2017-10-13 23:11:28.2954 | INFO | safemooneyBackend.Controllers.TransactionsController | user 7 request userlist|response count: 0
