2017-10-17 00:02:27.9484 | WARN | DataAccessLibrary.DataBuilder | ѕоследовательность не содержит элементов
2017-10-17 00:02:27.9844 | WARN | DataAccessLibrary.DataBuilder | Ќевозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-17 00:10:58.8077 | WARN | DataAccessLibrary.DataBuilder | ѕоследовательность не содержит элементов
2017-10-17 00:10:58.8807 | WARN | DataAccessLibrary.DataBuilder | Ќевозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-17 00:13:56.7988 | WARN | DataAccessLibrary.DataBuilder | ѕоследовательность не содержит элементов
2017-10-17 00:13:56.8688 | WARN | DataAccessLibrary.DataBuilder | Ќевозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-17 00:19:03.1624 | WARN | DataAccessLibrary.DataBuilder | ѕоследовательность не содержит элементов
2017-10-17 00:19:03.1944 | WARN | DataAccessLibrary.DataBuilder | Ќевозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-17 00:19:19.1633 | WARN | DataAccessLibrary.DataBuilder | ѕоследовательность не содержит элементов
2017-10-17 00:19:19.2003 | WARN | DataAccessLibrary.DataBuilder | Ќевозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-17 00:22:08.7110 | INFO | safemooneyBackend.Controllers.AccountController | User <id: 7> logout
